no,co,s,l,r,b,le,sa,t,ra,si
10.981,10,['l'],"[[[[44, 4]], '66-480']]",[],[],G,,"['FA', 'SP']",0,0
10.982,10,['l'],"[[[[46, 4]], '66-360']]",[],[],G,,"['FA', 'SP']",0,0
10.983,10,['l'],"[[[[76, 4]], '66-360']]",[],[],G,,"['FA', 'SP']",0,0
10.984,10,['l'],"[[[[78, 3]], '76-156']]",[],[],G,,"['FA', 'SP']",0,0
10.985,10,['l'],"[[[[102, 4]], 'E17-517']]",[],[],G,,"['FA', 'SP']",0,0
10.986,10,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
10.989,10,['l'],"[[[[98, 4]], '66-360']]",[],[],G,,"['FA', 'SP']",0,0
10.992,10,['l'],"[[[[14, 3], [134, 3]], '66-110']]",[],[],G,,['SP'],0,0
10.994,10,['l'],"[[[[98, 3]], '76-261D']]",[],[],G,,"['FA', 'SP']",0,0
10.995,10,['l'],"[[[[46, 4]], 'E17-517']]",[],[],G,,"['FA', 'SP']",0,0
10.997,10,['l'],"[[[[126, 5]], 'E25-521']]",[],[],G,,"['FA', 'SP']",0,0
10.998,10,['l'],"[[[[76, 4]], 'E17-517']]",[],[],G,,"['FA', 'SP']",0,0
10.C01,10,['l'],"[[[[126, 2]], '4-237']]",[],[],U,"3.C01, 20.C01",['SP'],0,0
10.C51,10,['l'],"[[[[126, 2]], '4-237']]",[],[],G,"3.C51, 20.C51",['SP'],0,0
10.EPE,10,[],[],[],[],U,,"['FA', 'SP']",0,0
10.S94,10,[],[],[],[],U,,"['FA', 'JA', 'SP']",0,0
10.S95,10,[],[],[],[],G,,"['FA', 'SP']",0,0
10.THG,10,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
10.THU,10,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
10.UAR,10,['l'],"[[[[72, 2]], '66-156']]",[],[],U,,"['FA', 'SP']",0,0
10.UR,10,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
10.URG,10,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
11.001,11,['l'],"[[[[6, 3], [66, 3]], '4-370']]",[],[],U,4.25,"['FA', 'SP']",6.1,50.5
11.003,11,['l'],"[[[[13, 3], [73, 3]], '9-255']]",[],[],U,17.303,['SP'],6,17
11.005,11,['l'],"[[[[43, 3], [103, 3]], '5-234']]",[],[],U,,['SP'],6.2,13.5
11.007,11,['l'],"[[[[36, 3], [96, 3]], '4-145']]",[],[],U,,['SP'],7,8
11.013,11,['l'],"[[[[42, 4]], '9-217']]",[],[],U,21H.217,['SP'],6.1,21.3
11.021,11,['l'],"[[[[45, 3], [105, 3]], 'E51-057']]",[],[],U,"1.801, 17.393, IDS.060",['SP'],5.4,24
11.024,11,['l'],"[[[[42, 3], [102, 3]], '10-401']]",[],[],U,,['SP'],0,0
11.067,11,['l'],"[[[[45, 3], [105, 3]], '10-401']]",[],[],U,,['SP'],0,0
11.125,11,['l'],"[[[[43, 3], [103, 3]], '5-134']]",[],[],U,CMS.587,['SP'],6.1,23.5
11.127,11,['l'],"[[[[40, 3], [100, 3]], '5-134']]",[],[],U,CMS.590,['SP'],6.5,20.5
11.131,11,['l'],"[[[[46, 3], [106, 3]], '1-134']]",[],[],U,CMS.593,['SP'],6.5,6
11.137,11,['l'],"[[[[42, 3], [102, 3]], '9-451']]",[],[],U,,['SP'],5.8,22
11.145,11,['l'],"[[[[3, 3], [63, 3]], '9-217']]",[],[],U,,['SP'],0,0
11.155,11,['l'],"[[[[36, 3], [96, 3]], '56-162']]",[],[],U,"IDS.057, STS.005",['SP'],0,0
11.157,11,['l'],"[[[[43, 3], [103, 3]], 'E62-250']]",[],[],U,15.2391,['SP'],0,0
11.171,11,['l'],"[[[[72, 6]], '9-451']]",[],[],U,,['SP'],0,0
11.188,11,"['l', 'b', 'r']","[[[[13, 3], [73, 3]], '9-354']]","[[[[76, 2]], '9-554']]","[[[[130, 6]], '9-554']]",U,,"['FA', 'SP']",5.5,11
11.189,11,[],[],[],[],U,,"['FA', 'SP']",0,0
11.19,11,[],[],[],[],U,,"['FA', 'SP']",0,0
11.191,11,[],[],[],[],U,,"['FA', 'SP']",0,0
11.192,11,[],[],[],[],U,,"['FA', 'JA', 'SP']",0,0
11.193,11,[],[],[],[],U,,"['FA', 'SP']",0,0
11.194,11,[],[],[],[],U,,"['FA', 'SP']",0,0
11.201,11,"['l', 'r']","[[[[6, 3], [66, 3]], '37-212']]","[[[[104, 2]], '9-217'], [[[132, 2]], '9-450'], [[[134, 2]], '9-450']]",[],G,,['SP'],4.6,65
11.202,11,"['r', 'l']","[[[[36, 3], [96, 3]], '4-231']]","[[[[102, 2]], '9-217'], [[[130, 2]], '9-217'], [[[18, 2]], '9-450A']]",[],G,,['SP'],4.2,67.5
11.203,11,"['r', 'l']","[[[[36, 3], [96, 3]], '4-231']]","[[[[102, 2]], '9-217'], [[[130, 2]], '9-217'], [[[18, 2]], '9-450A']]",[],G,,['SP'],4.2,52.5
11.205,11,"['b', 'l', 'r']","[[[[13, 3], [73, 3]], '9-354']]","[[[[76, 2]], '9-554']]","[[[[130, 6]], '9-554']]",G,,"['FA', 'SP']",5.5,46.5
11.222,11,"['r', 'l']","[[[[32, 4]], '4-163']]","[[[[78, 2]], '9-450'], [[[106, 2]], '9-217']]",[],G,,['SP'],0,0
11.228,11,['l'],"[[[[72, 6]], '1-132']]",[],[],G,4.229,['SP'],0,0
11.246,11,['b'],[],[],"[[[[122, 8]], '9-255']]",G,4.246,['SP'],6,14
11.251,11,['l'],"[[[[128, 2]], '9-450']]",[],[],G,,"['FA', 'SP']",0,0
11.252,11,['l'],"[[[[40, 3], [100, 3]], '5-134']]",[],[],G,CMS.863,['SP'],6.5,20.5
11.255,11,['l'],"[[[[45, 4], [105, 4]], '9-451']]",[],[],G,,['SP'],6.5,22.5
11.257,11,['l'],"[[[[43, 3], [103, 3]], 'E62-250']]",[],[],G,15.239,['SP'],0,0
11.263,11,['l'],"[[[[34, 3], [94, 3]], 'E51-057']]",[],[],G,"1.263, SCM.293",['SP'],4.8,39
11.271,11,['l'],"[[[[72, 6]], '9-451']]",[],[],G,,['SP'],0,0
11.302,11,['l'],"[[[[14, 6]], '10-401']]",[],[],G,4.253,['SP'],6.5,9.5
11.303,11,"['r', 'l']","[[[[13, 6], [73, 6]], '10-485']]","[[[[20, 3]], '10-485']]",[],G,4.254,['SP'],2.6,30.5
11.304,11,"['r', 'l']","[[[[79, 4]], '10-485']]","[[[[122, 8]], '10-485']]",[],G,4.255,['SP'],3.6,10.5
11.323,11,['l'],"[[[[135, 6]], '9-354']]",[],[],G,,['SP'],0,0
11.324,11,['l'],"[[[[42, 3], [102, 3]], '10-401']]",[],[],G,,['SP'],0,0
11.325,11,['l'],"[[[[35, 2], [95, 2]], '9-450']]",[],[],G,,['SP'],0,0
11.33,11,['l'],"[[[[78, 6]], '5-233']]",[],[],G,4.241,['SP'],5.8,18.5
11.332,11,"['r', 'l']","[[[[40, 10]], '10-485']]","[[[[122, 8]], '10-485']]",[],G,4.163,"['FA', 'SP']",5.6,13.3
11.333,11,['l'],"[[[[62, 4]], '10-401']]",[],[],G,4.244,['SP'],6.2,14
11.344,11,['l'],"[[[[46, 3], [106, 3]], '9-354']]",[],[],G,1.472,['SP'],6.8,29.5
11.35,11,"['r', 'l']","[[[[32, 3], [92, 3]], '9-354']]","[[[[80, 3]], '9-354']]",[],G,,['SP'],0,0
11.352,11,['l'],"[[[[110, 6]], '9-354']]",[],[],G,,['SP'],6.7,22.5
11.353,11,['l'],"[[[[9, 3], [69, 3]], '9-354']]",[],[],G,15.429,['SP'],7,12
11.355,11,['l'],"[[[[3, 3], [63, 3]], '9-217']]",[],[],G,,['SP'],6.4,9
11.367,11,['l'],"[[[[45, 3], [105, 3]], '10-401']]",[],[],G,,['SP'],7,3
11.381,11,['l'],"[[[[12, 6]], '9-450']]",[],[],G,,['SP'],6.7,9
11.383,11,['l'],"[[[[31, 3], [91, 3]], 'E51-395']]",[],[],G,15.662,['SP'],5.1,9
11.427,11,['l'],"[[[[43, 3], [103, 3]], 'E62-346']]",[],[],G,15.677,['SP'],6.7,20
11.43,11,['l'],"[[[[50, 6]], 'Virtual']]",[],[],G,15.941,['SP'],6.6,17.3
11.434,11,['l'],"[[[[46, 3], [106, 3]], '9-354']]",[],[],G,"15.428, IDS.720",['SP'],5.2,19
11.435,11,['l'],"[[[[8, 4], [68, 4]], '9-451']]",[],[],G,,['SP'],5.8,18
11.437,11,['l'],"[[[[42, 3], [102, 3]], '9-451']]",[],[],G,,['SP'],5.8,22
11.44,11,['l'],"[[[[72, 6]], '9-450A']]",[],[],G,,['SP'],0,0
11.452,11,['l'],"[[[[74, 4]], '9-217']]",[],[],G,,['SP'],0,0
11.463,11,[],[],[],[],G,4.236,['SP'],6,6
11.474,11,['l'],"[[[[38, 6]], 'N51-310']]",[],[],G,,['SP'],6.1,8.3
11.494,11,['l'],"[[[[102, 6]], '9-450']]",[],[],G,,['SP'],0,0
11.499,11,"['r', 'l']","[[[[42, 3]], '9-354']]","[[[[50, 2]], '9-354']]",[],G,,['SP'],3.6,24.5
11.52,11,"['l', 'b', 'r']","[[[[13, 3], [73, 3]], '9-354']]","[[[[76, 2]], '9-554']]","[[[[130, 6]], '9-554']]",G,,"['FA', 'SP']",5.7,25
11.523,11,"['l', 'b']","[[[[46, 4]], '9-450A']]",[],"[[[[106, 4]], '9-554']]",G,,['SP'],4.7,6.5
11.524,11,"['l', 'b']","[[[[46, 4]], '9-450A']]",[],"[[[[106, 4]], '9-554']]",G,,['SP'],5.5,2.5
11.526,11,['l'],"[[[[3, 3], [63, 3]], '9-255']]",[],[],G,1.251,['SP'],4.7,21
11.547,11,['l'],"[[[[132, 6]], '9-255']]",[],[],G,SCM.287,['SP'],0,0
11.63,11,['l'],"[[[[45, 3], [105, 3]], 'E51-057']]",[],[],G,"1.811, 15.663, IDS.540",['SP'],5.4,24
11.651,11,['l'],"[[[[73, 6]], 'E62-262']]",[],[],G,15.679,['SP'],0,0
11.8,11,['l'],"[[[[62, 6]], '9-450']]",[],[],G,,['SP'],6.3,7.5
11.801,11,[],[],[],[],G,,['SP'],0,0
11.901,11,[],[],[],[],G,,"['FA', 'JA', 'SP']",0,0
11.902,11,[],[],[],[],G,,"['FA', 'JA', 'SP']",0,0
11.903,11,[],[],[],[],G,,"['FA', 'JA', 'SP']",0,0
11.904,11,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
11.905,11,[],[],[],[],G,,"['FA', 'JA', 'SP']",0,0
11.906,11,[],[],[],[],G,,"['FA', 'JA', 'SP']",0,0
11.907,11,[],[],[],[],G,,"['FA', 'JA', 'SP']",0,0
11.908,11,[],[],[],[],G,,"['FA', 'JA', 'SP']",0,0
11.912,11,['l'],"[[[[69, 2]], 'E14-140L']]",[],[],G,4.275,"['FA', 'SP']",7,2
