no,co,s,l,r,b,le,sa,t,ra,si
6.882,6,['l'],"[[[[124, 6]], '56-114']]",[],[],G,,['SP'],6.4,41.5
6.883,6,['l'],"[[[[39, 3], [99, 3]], '32-141']]",[],[],G,,['SP'],5.4,64
6.884,6,['l'],"[[[[36, 4]], '24-121']]",[],[],G,,['SP'],6.3,15.5
6.885,6,['l'],"[[[[102, 4]], '24-112']]",[],[],G,,['SP'],6.7,8.5
6.888,6,['l'],"[[[[10, 3], [70, 3]], '56-154']]",[],[],G,,['SP'],5.4,20
6.9021,6,['l'],"[[[[22, 4]], '32-124']]",[],[],U,"2.7231, 16.6621","['FA', 'SP']",0,0
6.902A,6,['l'],"[[[[26, 2]], '32-141'], [[[22, 4]], '32-141']]",[],[],U,,"['FA', 'SP']",0,0
6.902B,6,['l'],"[[[[22, 4]], '32-141'], [[[26, 2]], '32-141']]",[],[],U,,"['FA', 'SP']",0,0
6.904,6,['l'],"[[[[44, 4]], '66-148'], [[[82, 4]], '2-151'], [[[74, 4]], '66-148'], [[[14, 4]], '66-148']]",[],[],U,,"['FA', 'SP']",6.2,56.2
6.9041,6,['l'],"[[[[14, 4]], '66-148'], [[[44, 4]], '66-148'], [[[74, 4]], '66-148'], [[[82, 4]], '2-151']]",[],[],U,,"['FA', 'SP']",6.2,56.2
6.905,6,['l'],"[[[[12, 2], [72, 2], [132, 2]], '35-225']]",[],[],U,,['SP'],6.7,23
6.91,6,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
6.911,6,['b'],[],[],"[[[[130, 4]], '32-144'], [[[122, 4]], '32-144'], [[[134, 4]], '32-144']]",U,,"['FA', 'SP']",6.2,143
6.912,6,['l'],"[[[[6, 3]], '4-153'], [[[40, 3]], '4-153'], [[[10, 3]], '4-153'], [[[36, 3]], '4-153']]",[],[],U,,"['FA', 'SP']",5.8,112
6.913,6,['b'],[],[],"[[[[122, 4]], '32-144'], [[[130, 4]], '32-144'], [[[134, 4]], '32-144']]",U,,"['FA', 'SP']",6.2,143
6.92,6,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
6.921,6,[],[],[],[],U,,"['FA', 'SU', 'SP']",0,0
6.922,6,[],[],[],[],U,,"['FA', 'SU', 'SP']",0,0
6.928,6,['l'],"[[[[13, 3], [73, 3]], '32-144']]",[],[],G,"15.674, 16.990","['FA', 'SP']",6.4,24
6.935,6,"['l', 'r']","[[[[47, 6]], 'E62-276']]","[[[[132, 2]], 'E51-345']]",[],G,15.481,['SP'],0,0
6.945,6,['l'],"[[[[12, 2], [72, 2], [132, 2]], '35-225']]",[],[],G,,['SP'],6.7,23
6.951,6,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
6.952,6,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
6.96,6,['l'],"[[[[38, 2]], '26-100']]",[],[],G,,"['FA', 'SU', 'SP']",6.4,119.2
6.961,6,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
6.962,6,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
6.98,6,[],[],[],[],G,,"['FA', 'SP']",0,0
6.981,6,[],[],[],[],G,,"['FA', 'SP']",0,0
6.991,6,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
6.994,6,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
6.995,6,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
6.997,6,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
6.998,6,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
6.C01,6,['l'],"[[[[14, 2], [74, 2]], '32-123']]",[],[],U,,['SP'],0,0
6.C51,6,['l'],"[[[[14, 2], [74, 2]], '32-123']]",[],[],G,,['SP'],0,0
6.EPE,6,[],[],[],[],U,,"['FA', 'SP']",0,0
6.S061,6,['l'],"[[[[14, 3], [74, 3]], '32-141']]",[],[],U,,"['FA', 'SP']",0,0
6.S063,6,"['b', 'l']","[[[[13, 3], [73, 3]], '3-333']]",[],"[[[[133, 3]], '26-322'], [[[130, 3]], '4-257']]",U,,['SP'],6.7,16
6.S076,6,['l'],"[[[[39, 3], [99, 3]], '32-141']]",[],[],U,,['SP'],0,0
6.S077,6,"['r', 'l', 'b']","[[[[14, 3]], '34-301']]","[[[[36, 3]], '34-304']]","[[[[74, 4]], '38-530']]",U,,['SP'],5.9,14.8
6.S079,6,['l'],"[[[[13, 3], [73, 3]], '37-212']]",[],[],U,,['SP'],6.9,21
6.S194,6,['l'],"[[[[44, 4], [104, 4]], '36-153']]",[],[],U,,['SP'],0,0
6.S967,6,['l'],"[[[[40, 3], [100, 3]], '4-270']]",[],[],G,,['SP'],0,0
6.S975,6,['l'],"[[[[76, 3]], 'E62-250']]",[],[],G,,['SP'],0,0
6.S977,6,['l'],"[[[[36, 3], [96, 3]], '32-155']]",[],[],G,,['SP'],6.3,16
6.S978,6,['l'],"[[[[14, 4]], '36-153']]",[],[],G,,['SP'],6.5,14.7
6.S979,6,['l'],"[[[[42, 4]], '32-044']]",[],[],G,,['SP'],5.3,19
6.THG,6,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.4,558.4
6.THM,6,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
6.UAR,6,['l'],"[[[[106, 2]], '32-123']]",[],[],U,,"['FA', 'SP']",4.1,125.4
6.UAT,6,['l'],"[[[[4, 2], [64, 2]], '34-101']]",[],[],U,,"['FA', 'SP']",5.4,202
6.UR,6,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
7.002,7,"['b', 'l']","[[[[11, 3]], '32-141']]",[],"[[[[70, 7]], '68-074'], [[[130, 7]], '68-074']]",U,,"['FA', 'SP']",6.7,23.3
7.003,7,"['b', 'r', 'l']","[[[[40, 2]], '68-181']]","[[[[36, 3]], '68-181']]","[[[[42, 6], [100, 8]], '68-074']]",U,10.7003,"['FA', 'SP']",6.3,8
7.014,7,"['r', 'l']","[[[[6, 2], [66, 2], [126, 2]], '32-123']]","[[[[36, 2], [96, 2]], '26-204'], [[[40, 2], [100, 2]], '26-204'], [[[44, 2], [104, 2]], '26-204'], [[[32, 2], [92, 2]], '26-204'], [[[38, 2], [98, 2]], '26-204'], [[[34, 2], [94, 2]], '26-204'], [[[42, 2], [102, 2]], '26-204']]",[],U,,['SP'],5.2,61.5
7.016,7,"['r', 'l']","[[[[4, 2], [64, 2], [124, 2]], '26-100']]","[[[[38, 2], [98, 2]], '26-314'], [[[36, 2], [96, 2]], '36-155'], [[[44, 2], [104, 2]], '26-210'], [[[42, 2], [102, 2]], '26-210'], [[[34, 2], [94, 2]], '66-168'], [[[40, 2], [100, 2]], '26-314'], [[[32, 2], [92, 2]], '36-144']]",[],U,,['SP'],5.5,109
7.03,7,"['r', 'l']","[[[[6, 2], [66, 2], [126, 2]], '32-141']]","[[[[38, 2]], '38-166'], [[[34, 2]], '38-166'], [[[14, 2]], '38-166'], [[[10, 2]], '38-166']]",[],U,,"['FA', 'SP']",5.3,81
7.05,7,"['r', 'l']","[[[[3, 3], [63, 3], [123, 3]], '10-250']]","[[[[12, 2]], '26-210'], [[[96, 2]], '24-112'], [[[23, 2]], '26-204'], [[[70, 2]], '24-112'], [[[40, 2]], '24-112'], [[[44, 2]], '26-322'], [[[36, 2]], '24-112'], [[[53, 2]], '26-204'], [[[66, 2]], '36-112'], [[[130, 2]], '24-112'], [[[102, 2]], '36-112']]",[],U,,['SP'],5.5,156.5
7.06,7,"['r', 'l']","[[[[33, 3], [93, 3]], '4-270']]","[[[[128, 2]], '26-204'], [[[124, 2]], '26-204'], [[[126, 2]], '26-204']]",[],U,,"['FA', 'SP']",5.5,73
7.08,7,"['l', 'r']","[[[[6, 3], [66, 3]], '56-114']]","[[[[132, 2]], '36-372'], [[[100, 2]], '36-372'], [[[102, 2]], '36-372'], [[[130, 2]], '36-372']]",[],U,5.08,['SP'],6.2,13
7.093,7,['l'],"[[[[10, 3], [70, 3]], '4-370']]",[],[],U,,['SP'],0,0
7.094,7,['l'],"[[[[10, 3], [70, 3]], '4-370']]",[],[],U,,['SP'],0,0
7.11,7,[],[],[],[],U,,"['FA', 'SP']",0,0
7.19,7,['l'],"[[[[43, 4], [103, 4]], '68-121']]",[],[],U,,"['FA', 'SP']",5.1,11.8
7.23,7,"['r', 'l']","[[[[3, 3], [63, 3]], '4-370']]","[[[[82, 2]], '66-168'], [[[68, 2]], '56-167'], [[[106, 2]], '66-160']]",[],U,20.23,['SP'],5.5,69
7.26,7,"['r', 'l']","[[[[3, 3], [63, 3]], '4-237']]","[[[[126, 2]], '4-149'], [[[124, 2]], '4-149']]",[],U,,['SP'],6.3,31
7.27,7,"['r', 'l']","[[[[6, 3], [66, 3]], '56-180']]","[[[[122, 2]], '26-210'], [[[106, 2]], '26-210']]",[],U,,['SP'],5.5,9.5
7.28,7,"['r', 'l']","[[[[36, 4], [96, 4]], '4-270']]","[[[[82, 2]], '56-169'], [[[68, 2]], '66-156']]",[],U,,['SP'],5.4,26.5
7.29,7,"['l', 'r']","[[[[10, 3], [70, 3]], '46-3310']]","[[[[128, 2]], '46-3310']]",[],U,9.09,['SP'],6.2,32.5
7.33,7,['l'],"[[[[36, 3], [96, 3]], '56-114']]",[],[],U,6.049,['SP'],6,19
7.34,7,[],[],[],[],U,,"['FA', 'SP']",0,0
7.341,7,['l'],"[[[[36, 4]], '68-150']]",[],[],U,,"['FA', 'SP']",0,0
7.342,7,['l'],"[[[[70, 4]], '68-150']]",[],[],U,,"['FA', 'SP']",0,0
7.343,7,['l'],"[[[[102, 4]], '68-150']]",[],[],U,,"['FA', 'SP']",0,0
7.344,7,['l'],"[[[[40, 4]], '68-150']]",[],[],U,,"['FA', 'SP']",0,0
7.345,7,['l'],"[[[[96, 4]], '68-180']]",[],[],U,,"['FA', 'SP']",0,0
7.346,7,['l'],"[[[[100, 4]], '68-180']]",[],[],U,,"['FA', 'SP']",0,0
7.347,7,[],[],[],[],U,,"['FA', 'SP']",0,0
7.348,7,[],[],[],[],U,,"['FA', 'SP']",0,0
7.349,7,[],[],[],[],U,,"['FA', 'SP']",0,0
7.35,7,['l'],"[[[[3, 6]], 'WI-7TH']]",[],[],U,,['SP'],0,0
7.39,7,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
7.411,7,['l'],"[[[[62, 4]], '54-827']]",[],[],G,,"['FA', 'SP']",0,0
7.43,7,['l'],"[[[[70, 3]], 'CAMPUS']]",[],[],G,,"['FA', 'SP']",6.5,5
7.431,7,['l'],"[[[[70, 3]], '54-824']]",[],[],G,,"['FA', 'SP']",6.8,5.5
7.432,7,[],[],[],[],G,,['SP'],6.3,3
7.433,7,[],[],[],[],G,,"['FA', 'SP']",6.7,6.3
7.434,7,[],[],[],[],G,,"['FA', 'SP']",0,0
7.435,7,[],[],[],[],G,,"['FA', 'SP']",0,0
7.436,7,[],[],[],[],G,,"['FA', 'SP']",0,0
7.438,7,['l'],"[[[[40, 3]], 'CAMPUS']]",[],[],G,,"['FA', 'SP']",0,0
7.439,7,[],[],[],[],G,,['SP'],7,6
7.44,7,['l'],"[[[[43, 3], [103, 3]], 'CAMPUS']]",[],[],G,,['SP'],6.8,4
7.458,7,['l'],"[[[[36, 3], [96, 3]], '66-148']]",[],[],U,10.03,['SP'],6.9,15
7.47,7,['l'],"[[[[35, 3], [95, 3]], 'CAMPUS']]",[],[],G,,['SP'],5.8,6
7.49,7,['l'],"[[[[43, 3], [103, 3]], '46-3310']]",[],[],U,9.18,['SP'],5.6,18
7.491,7,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
7.494,7,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
7.498,7,[],[],[],[],G,,"['FA', 'SP']",0,0
7.499,7,[],[],[],[],G,,"['FA', 'SP']",0,0
7.546,7,"['l', 'r']","[[[[104, 6]], 'WI-AUDITORIUM']]","[[[[48, 2]], '68-180'], [[[46, 2]], '68-180']]",[],G,"15.480, 20.586",['SP'],6.2,58.5
7.548,7,['l'],"[[[[36, 3], [96, 3]], '66-148']]",[],[],G,10.53,['SP'],6.9,15
7.571,7,"['r', 'l']","[[[[40, 3], [100, 3]], '56-114']]","[[[[125, 2]], '2-143'], [[[123, 2]], '4-159']]",[],G,,['SP'],0,0
7.572,7,"['l', 'r']","[[[[40, 3], [100, 3]], '56-114']]","[[[[125, 2]], '2-143'], [[[123, 2]], '4-159']]",[],G,,['SP'],0,0
7.573,7,['l'],"[[[[10, 3], [70, 3]], '4-370']]",[],[],G,,['SP'],0,0
7.574,7,['l'],"[[[[10, 3], [70, 3]], '4-370']]",[],[],G,,['SP'],0,0
7.58,7,"['l', 'r']","[[[[36, 4], [96, 4]], '4-270']]","[[[[82, 2]], '56-169'], [[[68, 2]], '66-156']]",[],G,,['SP'],5.4,26.5
7.6,7,['l'],"[[[[33, 3], [93, 3]], '68-121']]",[],[],G,,['SP'],6.5,15
7.63,7,"['l', 'r']","[[[[3, 3], [63, 3]], '4-370']]","[[[[68, 2]], '56-167'], [[[82, 2]], '66-168'], [[[106, 2]], '66-160']]",[],G,20.63,['SP'],5.5,69
7.66,7,"['r', 'l']","[[[[3, 3], [63, 3]], '4-237']]","[[[[106, 2]], '66-154']]",[],G,,['SP'],6.3,31
7.68,7,"['r', 'l']","[[[[10, 3], [70, 3]], '46-4062']]","[[[[6, 2], [66, 2]], '46-4062']]",[],G,9.013,['SP'],6.4,11.5
7.69,7,['l'],"[[[[43, 3], [103, 3]], '46-3310']]",[],[],G,9.181,['SP'],5.6,18
7.72,7,['l'],"[[[[63, 6]], 'WI-7TH']]",[],[],G,,['SP'],7,8
7.75,7,['l'],"[[[[3, 6]], 'WI-7TH']]",[],[],G,,['SP'],0,0
7.77,7,['l'],"[[[[74, 6]], '68-121']]",[],[],G,,['SP'],6.1,27
7.8,7,"['r', 'l']","[[[[6, 3], [66, 3]], '56-114']]","[[[[100, 2]], '36-372'], [[[102, 2]], '36-372'], [[[130, 2]], '36-372'], [[[132, 2]], '36-372']]",[],G,,['SP'],6.2,13
7.933,7,[],[],[],[],G,,"['FA', 'SP']",0,0
7.934,7,[],[],[],[],G,,"['FA', 'SP']",0,0
7.936,7,[],[],[],[],G,,"['FA', 'SP']",0,0
7.942,7,[],[],[],[],G,,['SP'],0,0
7.95,7,['l'],"[[[[106, 4]], 'WI-7TH']]",[],[],G,,['SP'],6.1,22
7.98,7,['l'],"[[[[100, 6]], '46-5305']]",[],[],G,9.301,['SP'],5.9,10.5
7.MTHG,7,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
7.S391,7,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
7.S930,7,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
7.S931,7,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
7.THG,7,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.1,141.5
7.THU,7,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
7.UR,7,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
7.URG,7,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
8.011,8,"['r', 'l']","[[[[4, 4], [64, 4]], '36-144'], [[[8, 4], [68, 4]], '36-144']]","[[[[124, 2]], '32-124']]",[],U,,['SP'],4.5,32.5
8.02,8,['l'],"[[[[10, 2], [70, 2], [130, 2]], '26-152'], [[[2, 2], [62, 2], [122, 2]], '26-152'], [[[12, 2], [72, 2], [132, 2]], '26-152'], [[[14, 2], [74, 2], [134, 2]], '26-152'], [[[36, 2], [96, 2], [126, 2]], '26-152'], [[[46, 2], [106, 2], [136, 2]], '26-152'], [[[42, 2], [102, 2], [132, 2]], '26-152'], [[[32, 2], [92, 2], [122, 2]], '26-152'], [[[44, 2], [104, 2], [134, 2]], '26-152'], [[[16, 2], [76, 2], [136, 2]], '26-152'], [[[40, 2], [100, 2], [130, 2]], '26-152'], [[[8, 2], [68, 2], [128, 2]], '26-152'], [[[4, 2], [64, 2], [124, 2]], '26-152'], [[[6, 2], [66, 2], [126, 2]], '26-152'], [[[34, 2], [94, 2], [124, 2]], '26-152'], [[[38, 2], [98, 2], [128, 2]], '26-152']]",[],[],U,,"['FA', 'SP']",5.3,379
8.022,8,"['r', 'l']","[[[[13, 3], [73, 3]], '6-120']]","[[[[34, 2], [94, 2]], '26-314'], [[[44, 2], [104, 2]], '26-314'], [[[36, 2], [96, 2]], '26-314'], [[[42, 2], [102, 2]], '26-314']]",[],U,,"['FA', 'SP']",6.2,41.6
8.03,8,"['l', 'r']","[[[[41, 3], [101, 3]], '6-120']]","[[[[6, 2], [66, 2]], '26-314'], [[[10, 2], [70, 2]], '26-314'], [[[4, 2], [64, 2]], '26-314'], [[[12, 2], [72, 2]], '26-314']]",[],U,,"['FA', 'SP']",5.5,61.2
8.04,8,"['r', 'l']","[[[[3, 3], [63, 3]], '6-120']]","[[[[34, 2], [94, 2]], '4-257'], [[[42, 2], [102, 2]], '26-322'], [[[36, 2], [96, 2]], '4-257'], [[[40, 2], [100, 2]], '26-322']]",[],U,,['SP'],6.1,66.3
8.044,8,"['r', 'l']","[[[[36, 3], [96, 3]], '6-120']]","[[[[12, 2], [72, 2]], '26-322'], [[[6, 2], [66, 2]], '26-204'], [[[4, 2], [64, 2]], '26-204'], [[[14, 2], [74, 2]], '26-322']]",[],U,,['SP'],4,82.5
8.051,8,['l'],"[[[[4, 2], [64, 2]], '2-105']]",[],[],U,,['SP'],5.6,20.5
8.06,8,"['r', 'l']","[[[[33, 3], [93, 3]], '6-120']]","[[[[6, 2], [66, 2]], '26-322'], [[[4, 2], [64, 2]], '26-322']]",[],U,,['SP'],6.2,48.5
8.08,8,"['r', 'l']","[[[[70, 3], [130, 3]], '26-328']]","[[[[11, 2]], '26-328']]",[],U,,['SP'],6.2,12.5
8.13,8,['b'],[],[],"[[[[12, 6], [72, 6]], '4-361'], [[[2, 6], [62, 6]], '4-361'], [[[32, 6], [92, 6]], '4-361']]",U,,"['FA', 'SP']",5.8,33
8.14,8,['b'],[],[],"[[[[42, 6], [102, 6]], '4-361']]",U,,['SP'],6.4,12
8.18,8,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
8.19,8,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
8.21,8,"['r', 'l']","[[[[13, 3], [73, 3]], '4-261']]","[[[[44, 2], [104, 2]], '2-146']]",[],U,,['SP'],5,18.5
8.226,8,['l'],"[[[[40, 3], [100, 3]], '35-308']]",[],[],U,,['SP'],0,0
8.282,8,['l'],"[[[[40, 3], [100, 3]], '4-231']]",[],[],U,12.402,['SP'],5.6,25.5
8.284,8,['l'],"[[[[42, 3], [102, 3]], '8-205']]",[],[],U,,['SP'],6.3,11
8.292,8,['l'],"[[[[43, 3], [103, 3]], '37-212']]",[],[],U,12.33,['SP'],0,0
8.295,8,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
8.298,8,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
8.299,8,[],[],[],[],U,,"['FA', 'SP']",0,0
8.311,8,"['r', 'l']","[[[[6, 3], [66, 3]], '3-370']]","[[[[34, 2]], '66-144']]",[],G,,['SP'],6.5,18
8.322,8,"['r', 'l']","[[[[4, 3], [64, 3]], '4-149']]","[[[[124, 2]], '8-205']]",[],G,,['SP'],6,5
8.323,8,"['l', 'r']","[[[[17, 3], [77, 3]], '4-163']]","[[[[132, 2]], '4-163']]",[],G,,['SP'],6.1,31.5
8.325,8,"['l', 'r']","[[[[32, 3], [92, 3]], '4-265']]","[[[[130, 2]], '26-322']]",[],G,,['SP'],6.3,20
8.371,8,['l'],"[[[[3, 3], [63, 3]], '4-163']]",[],[],G,"6.443, 18.436",['SP'],6.6,18
8.392,8,[],[],[],[],G,,"['SU', 'SP']",6.5,102
8.396,8,['l'],"[[[[33, 3], [93, 3]], '32-082']]",[],[],G,,['SP'],0,0
8.397,8,['l'],"[[[[33, 3], [93, 3]], '32-082']]",[],[],G,,['SP'],0,0
8.398,8,['l'],"[[[[126, 2]], '6-120']]",[],[],G,,"['FA', 'SP']",0,0
8.399,8,[],[],[],[],G,,"['FA', 'SP']",0,0
8.421,8,['l'],"[[[[36, 3], [96, 3]], '3-370']]",[],[],G,,['SP'],5.5,30
8.431,8,['l'],"[[[[14, 3], [74, 3]], '36-372']]",[],[],G,6.634,['SP'],5.3,10.5
8.512,8,['l'],"[[[[40, 3], [100, 3]], '4-159']]",[],[],G,,['SP'],5,17.5
8.592,8,['l'],"[[[[13, 3], [73, 3]], '4-265']]",[],[],G,HST.452,['SP'],6.4,34
8.614,8,['l'],"[[[[39, 3], [99, 3]], 'NW16-213']]",[],[],G,22.612,['SP'],0,0
8.711,8,['l'],"[[[[40, 3], [100, 3]], '26-328']]",[],[],G,,['SP'],4.8,8
8.751,8,['l'],"[[[[33, 3], [93, 3]], '36-372']]",[],[],G,22.51,['SP'],0,0
8.851,8,['l'],"[[[[35, 3], [95, 3]], '4-265']]",[],[],G,,['SP'],0,0
8.901,8,['l'],"[[[[10, 3], [70, 3]], '4-265']]",[],[],G,,['SP'],6.2,18.5
8.962,8,"['r', 'l']","[[[[43, 3], [103, 3]], '2-190']]","[[[[126, 2]], '4-153'], [[[16, 2]], '4-153']]",[],G,,['SP'],6.5,45
8.995,8,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
8.EPE,8,[],[],[],[],U,,"['FA', 'SP']",0,0
8.S02,8,['l'],"[[[[82, 4]], '26-152']]",[],[],U,,['SP'],0,0
8.S271,8,['l'],"[[[[10, 3]], '26-414']]",[],[],U,,['SP'],0,0
8.THG,8,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",5.8,139.6
8.THU,8,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
8.UR,8,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
9,9,"['r', 'l']","[[[[42, 3], [102, 3]], '32-123']]","[[[[130, 2]], '46-3189'], [[[76, 2]], '46-1015'], [[[124, 2]], '46-1015'], [[[132, 2]], '46-3189'], [[[112, 2]], '46-1015'], [[[106, 2]], '46-1015'], [[[64, 2]], '46-1015'], [[[82, 2]], '46-1015'], [[[126, 2]], '46-1015'], [[[98, 2]], '46-3189']]",[],U,,['SP'],6.3,279
9.012,9,['l'],"[[[[40, 6], [100, 6]], '46-4199']]",[],[],G,,['SP'],6.1,15.5
9.013,9,"['r', 'l']","[[[[10, 3], [70, 3]], '46-4062']]","[[[[6, 2], [66, 2]], '46-4062']]",[],G,7.68,['SP'],6.4,11.5
9.021,9,['l'],"[[[[6, 3], [66, 3]], '32-144']]",[],[],G,"2.794, 6.521, 20.470, HST.541",['SP'],5.8,28
9.09,9,"['l', 'r']","[[[[10, 3], [70, 3]], '46-3310']]","[[[[128, 2]], '46-3310']]",[],U,7.29,['SP'],6.2,32.5
9.12,9,"['b', 'l']","[[[[44, 4]], '46-1015']]",[],"[[[[130, 8]], '46-1024'], [[[92, 8]], '46-1024']]",U,,['SP'],5.9,17.5
9.13,9,['l'],"[[[[6, 3], [66, 3]], '46-3002']]",[],[],U,,['SP'],6.2,24
9.18,9,['l'],"[[[[43, 3], [103, 3]], '46-3310']]",[],[],U,7.49,['SP'],5.6,18
9.181,9,['l'],"[[[[43, 3], [103, 3]], '46-3310']]",[],[],G,7.69,['SP'],5.6,18
9.21,9,"['l', 'r']","[[[[6, 3], [66, 3]], '32-144']]","[[[[38, 2]], '66-160'], [[[46, 2]], '66-160']]",[],U,"2.791, 6.021, 20.370",['SP'],5.8,28
9.24,9,['l'],"[[[[130, 6]], '46-3310']]",[],[],U,,['SP'],6.5,14
9.26,9,['l'],"[[[[124, 6]], '4-257']]",[],[],U,20.205,['SP'],6.3,10
9.271,9,['l'],"[[[[10, 3], [70, 3]], '46-5313']]",[],[],G,"10.562, HST.562",['SP'],0,0
9.272,9,['l'],"[[[[3, 3], [63, 3]], '46-3189']]",[],[],G,HST.576,['SP'],6.3,12
9.285,9,['l'],"[[[[3, 4], [63, 4], [123, 4]], '46-5193']]",[],[],G,HST.723,['SP'],7,3
9.301,9,['l'],"[[[[100, 6]], '46-5305']]",[],[],G,7.98,['SP'],5.9,10.5
9.34,9,['l'],"[[[[40, 3], [100, 3]], '5-234']]",[],[],G,2.183,['SP'],5.7,24
9.35,9,"['r', 'l']","[[[[43, 3], [103, 3]], '46-3189']]","[[[[126, 2]], '46-5313']]",[],U,,['SP'],6,13.5
9.357,9,['l'],"[[[[14, 4]], '32-262']]",[],[],G,,['SP'],6.8,2.5
9.39,9,['l'],"[[[[35, 3], [95, 3]], '46-3189']]",[],[],U,,['SP'],0,0
9.39,9,['l'],"[[[[35, 3], [95, 3]], '46-3189']]",[],[],G,,['SP'],0,0
9.4,9,"['r', 'l']","[[[[35, 3], [95, 3]], '46-3002']]","[[[[74, 2]], '46-4199'], [[[76, 2]], '46-4199']]",[],U,,['SP'],5.8,46.5
9.5,9,[],[],[],[],U,,"['FA', 'SP']",0,0
9.521,9,['l'],"[[[[40, 3], [100, 3]], '32-124']]",[],[],G,"18.656, IDS.160",['SP'],0,0
9.53,9,['l'],"[[[[15, 3], [75, 3]], '46-3189']]",[],[],U,,['SP'],6.4,21
9.53,9,['l'],"[[[[15, 3], [75, 3]], '46-3189']]",[],[],G,,['SP'],6.4,21
9.55,9,['l'],"[[[[4, 3], [64, 3]], 'E51-315'], [[[10, 3], [70, 3]], 'E51-376']]",[],[],U,15.8471,['SP'],0,0
9.55,9,['l'],"[[[[4, 3], [64, 3]], 'E51-315'], [[[10, 3], [70, 3]], 'E51-376']]",[],[],G,15.847,['SP'],0,0
9.6,9,['l'],"[[[[36, 3], [96, 3]], '46-4062']]",[],[],U,,['SP'],6.9,7
9.822,9,['l'],"[[[[76, 6]], 'E52-164']]",[],[],G,14.137,['SP'],6.7,8
9.89,9,[],[],[],[],U,,"['FA', 'JA', 'SP']",0,0
9.91,9,[],[],[],[],U,,"['FA', 'JA', 'SP']",0,0
9.919,9,[],[],[],[],G,,"['FA', 'SP']",0,0
9.921,9,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
9.941,9,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
9.S913,9,['l'],"[[[[39, 3], [99, 3]], '32-141']]",[],[],G,,['SP'],6.2,5
9.S917,9,[],[],[],[],G,,['SP'],6.3,18.3
9.S99,9,['l'],"[[[[39, 3], [99, 3]], '32-141']]",[],[],U,,['SP'],0,0
9.THG,9,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
9.UR,9,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
9.URG,9,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
AS.102,AS,[],[],[],[],U,,['SP'],6.2,18
AS.112,AS,['l'],"[[[[44, 4]], '1-190']]",[],[],U,,['SP'],5.8,18
AS.202,AS,[],[],[],[],U,,['SP'],6.8,12
AS.212,AS,['l'],"[[[[44, 4]], '1-190']]",[],[],U,,['SP'],7,13
AS.302,AS,[],[],[],[],U,,['SP'],6.7,9.5
AS.312,AS,['l'],"[[[[44, 4]], '1-190']]",[],[],U,,['SP'],6.6,9.5
AS.402,AS,[],[],[],[],U,,['SP'],6.7,6
AS.412,AS,['l'],"[[[[44, 4]], '1-190']]",[],[],U,,['SP'],6.7,4.5
AS.812,AS,['l'],"[[[[44, 4]], '1-190']]",[],[],U,,['SP'],0,0
CC.011,CC,['l'],"[[[[128, 4]], '16-128']]",[],[],U,,['SP'],0,0
